Names,K_to_BB,HR_9,K_perc,BB_perc,K_minus_BB_perc,AVG,WHIP,BABIP,LOB,ERA,FIP,xFIP,SIERA,ERA_YR2
Yordano Ventura,2.3,0.69,20.30%,8.80%,11.50%,0.237,1.3,0.288,77.30%,3.2,3.6,3.74,3.87,4.08
Tom Koehler,2.15,0.75,19.10%,8.80%,10.20%,0.244,1.3,0.29,73.50%,3.81,3.84,4.15,4.16,4.08
Jon Niese,3.07,0.82,17.60%,5.70%,11.80%,0.263,1.27,0.304,74.60%,3.4,3.67,3.63,3.78,4.13
Bartolo Colon,5.03,0.98,17.90%,3.60%,14.30%,0.269,1.23,0.307,70.20%,4.09,3.57,3.68,3.75,4.16
Nathan Eovaldi,3.3,0.63,16.60%,5.00%,11.60%,0.277,1.33,0.323,65.50%,4.37,3.37,3.78,3.91,4.2
Ian Kennedy,2.96,0.72,24.50%,8.30%,16.20%,0.245,1.29,0.315,74.00%,3.63,3.21,3.44,3.47,4.28
Phil Hughes,11.63,0.69,21.80%,1.90%,19.90%,0.265,1.13,0.324,70.10%,3.52,2.65,3.18,3.17,4.4
Wade Miley,2.44,1.03,21.10%,8.70%,12.50%,0.263,1.4,0.317,72.10%,4.34,3.98,3.5,3.67,4.46
Trevor Bauer,2.38,0.94,21.60%,9.10%,12.50%,0.255,1.38,0.312,73.20%,4.18,4.01,4.14,3.95,4.55
Jered Weaver,2.6,1.14,19.00%,7.30%,11.70%,0.236,1.21,0.267,78.30%,3.59,4.19,4.3,4.18,4.64
Colby Lewis,2.77,1.32,17.50%,6.30%,11.20%,0.299,1.52,0.339,69.00%,5.18,4.46,4.36,4.22,4.66
John Danks,1.74,1.16,15.10%,8.70%,6.40%,0.266,1.44,0.291,71.90%,4.74,4.76,4.62,4.64,4.71
Aaron Harang,2.27,0.66,18.40%,8.10%,10.30%,0.267,1.4,0.318,74.80%,3.57,3.57,4.03,4.18,4.86
Rick Porcello,3.15,0.79,15.40%,4.90%,10.50%,0.265,1.23,0.298,72.40%,3.43,3.67,3.68,3.88,4.92
Jeff Samardzija,4.7,0.82,23.00%,4.90%,18.10%,0.231,1.07,0.283,73.20%,2.99,3.2,3.07,3.06,4.96
Chris Tillman,2.27,0.91,17.20%,7.60%,9.60%,0.236,1.23,0.267,76.70%,3.34,4.01,4.2,4.26,4.99
Alfredo Simon,2.27,1.01,15.50%,6.90%,8.70%,0.241,1.21,0.265,77.50%,3.44,4.33,4.05,4.17,5.05
Drew Hutchison,3.07,1.12,23.40%,7.60%,15.80%,0.241,1.26,0.293,71.20%,4.48,3.85,3.82,3.59,5.57
Kyle Lohse,3.13,1,17.30%,5.50%,11.80%,0.24,1.15,0.268,72.60%,3.54,3.95,4.05,4.04,5.85
